Year,Pick,Team,Player,College,Games,Minutes,Points,Rebounds,Assists,FG%,3P%,FT%,Win Shares,WS/48,BPM,VORP,MPG,PPG,RPG,APG,Pick Range,Career Tier,Bust?,Pick Efficiency,Value Above Expected
2011,4,CLE,Tristan Thompson,Texas,707,19180,6462,6011,711,0.518,0.278,0.606,46.6,0.117,-1.7,1.4,27.1,9.1,8.5,1,Top 5,Starter,No,11.65,-1.96
2011,5,TOR,Jonas Valan?i?nas,,674,17559,8958,6338,771,0.563,0.366,0.784,65.4,0.179,1.1,13.7,26.1,13.3,9.4,1.1,Top 5,Starter,No,13.08,34.04
2011,6,WAS,Jan Veselý,,162,2455,590,562,96,0.521,0,0.408,4,0.078,-2.6,-0.4,15.2,3.6,3.5,0.6,Lottery,Minimal,Yes,0.67,-23.66
2011,7,SAC,Bismack Biyombo,,719,14521,3749,4423,433,0.53,0,0.565,29,0.096,-2.6,-2.1,20.2,5.2,6.2,0.6,Lottery,Rotation,No,4.14,-4.98
2011,8,DET,Brandon Knight,Kentucky,449,13191,6299,1384,1777,0.411,0.353,0.807,11.7,0.043,-1.6,1.5,29.4,14,3.1,4,Lottery,Rotation,No,1.46,-9.46
2011,9,CHA,Kemba Walker,UConn,741,24666,14414,2815,3919,0.418,0.36,0.84,59.5,0.116,2.8,29.7,33.3,19.5,3.8,5.3,Lottery,Starter,No,6.61,22.11
2011,10,MIL,Jimmer Fredette,BYU,241,3213,1438,243,331,0.409,0.372,0.879,2.2,0.033,-2.5,-0.4,13.3,6,1,1.4,Lottery,Minimal,Yes,0.22,-24.65
2011,11,GSW,Klay Thompson,Washington State,631,20744,12268,2190,1465,0.458,0.418,0.849,47.8,0.11,0.8,14.6,32.9,19.4,3.5,2.3,Lottery,Starter,No,4.35,25.10
2011,12,UTA,Alec Burks,Colorado,602,13605,6339,2068,1179,0.418,0.375,0.799,23.9,0.084,-0.7,4.6,22.6,10.5,3.4,2,Lottery,Rotation,No,1.99,2.58
2011,13,PHO,Markieff Morris,Kansas,708,17613,7770,3697,1144,0.446,0.341,0.777,27,0.073,-1.4,2.8,24.9,11,5.2,1.6,Lottery,Rotation,No,2.08,7.67
2011,14,HOU,Marcus Morris,Kansas,700,18965,8674,3232,1050,0.436,0.379,0.768,35.9,0.091,-0.5,7.2,27.1,12.4,4.6,1.5,Lottery,Starter,No,2.56,21.15
2011,15,IND,Kawhi Leonard,San Diego State,576,18025,11085,3689,1672,0.493,0.384,0.858,83.3,0.222,6.9,40.4,31.3,19.2,6.4,2.9,Mid First,Star,No,5.55,57.52
2011,16,PHI,Nikola Vu?evi?,USC,720,22214,12210,7536,1990,0.494,0.351,0.756,58.5,0.126,2.3,24.2,30.9,17,10.5,2.8,Mid First,Starter,No,3.66,41.52
2011,17,NYK,Iman Shumpert,Georgia Tech,461,11470,3320,1534,845,0.391,0.337,0.764,12.9,0.054,-1.7,0.9,24.9,7.2,3.3,1.8,Mid First,Rotation,No,0.76,-4.42
